Format Version,1.23,Take Name,MDC_data_1779870757,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-27 06:33:06 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-05-27 18:33:06.507,0.000000,0.000000,0.000000,0.000000,0.067675,-0.100413,-0.326109,-0.130503,-0.099921,-0.326437,-0.031414,-0.100167,-0.326273,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063480,-0.127099,-0.294108
2026-05-27 18:33:06.607,0.100000,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:06.707,0.200000,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:06.807,0.300000,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:06.907,0.400000,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:07.007,0.500000,0.000000,0.000000,0.000000,0.067191,-0.101541,-0.326063,-0.130754,-0.099547,-0.326455,-0.031782,-0.100544,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:07.107,0.599999,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002889,-0.130395,-0.296648,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:07.207,0.699999,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:07.307,0.799999,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.033011,-0.135154,-0.245620,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:07.407,0.899999,0.000000,0.000000,0.000000,0.067191,-0.101541,-0.326063,-0.130754,-0.099547,-0.326455,-0.031782,-0.100544,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:07.507,0.999999,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:07.607,1.099999,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:07.707,1.199999,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:07.807,1.299999,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032972,-0.134634,-0.245596,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:07.907,1.399999,0.000000,0.000000,0.000000,0.067191,-0.101541,-0.326063,-0.130754,-0.099547,-0.326455,-0.031782,-0.100544,-0.326259,0.002958,-0.129870,-0.296665,-0.033011,-0.135154,-0.245620,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:08.007,1.499999,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:08.107,1.599998,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:08.207,1.699998,0.000000,0.000000,0.000000,0.067191,-0.101541,-0.326063,-0.130754,-0.099547,-0.326455,-0.031782,-0.100544,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:08.307,1.799998,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130833,-0.098481,-0.326536,-0.031705,-0.099485,-0.326339,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:08.407,1.899998,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130675,-0.100612,-0.326375,-0.031510,-0.100026,-0.326298,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:08.507,1.999998,0.000000,0.000000,0.000000,0.067191,-0.101541,-0.326063,-0.130675,-0.100612,-0.326375,-0.031742,-0.101077,-0.326219,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:08.607,2.099998,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063480,-0.127099,-0.294108
2026-05-27 18:33:08.707,2.199998,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.033011,-0.135154,-0.245620,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:08.807,2.299998,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063480,-0.127099,-0.294108
2026-05-27 18:33:08.907,2.399998,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130833,-0.098481,-0.326536,-0.031589,-0.098960,-0.326378,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:09.007,2.499998,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:09.107,2.599998,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:09.207,2.699997,0.000000,0.000000,0.000000,0.067191,-0.101541,-0.326063,-0.130675,-0.100612,-0.326375,-0.031742,-0.101077,-0.326219,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:09.307,2.799997,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:09.407,2.899997,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:09.507,2.999997,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.033011,-0.135154,-0.245620,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:09.607,3.099997,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130754,-0.099547,-0.326455,-0.031549,-0.099493,-0.326338,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:09.707,3.199997,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130675,-0.100612,-0.326375,-0.031510,-0.100026,-0.326298,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:09.807,3.299997,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002889,-0.130395,-0.296648,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:09.907,3.399997,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002820,-0.130920,-0.296631,-0.033011,-0.135154,-0.245620,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:10.007,3.499997,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:10.107,3.599997,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.033011,-0.135154,-0.245620,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:10.207,3.699996,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:10.307,3.799996,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130675,-0.100612,-0.326375,-0.031510,-0.100026,-0.326298,0.002958,-0.129870,-0.296665,-0.033011,-0.135154,-0.245620,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:10.407,3.899996,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130675,-0.100612,-0.326375,-0.031510,-0.100026,-0.326298,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:10.507,3.999996,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:10.607,4.099996,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:10.707,4.199996,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:10.807,4.299996,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:10.907,4.399996,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:11.007,4.499996,0.000000,0.000000,0.000000,0.066958,-0.102592,-0.325984,-0.130754,-0.099547,-0.326455,-0.031898,-0.101069,-0.326220,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:11.107,4.599996,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032854,-0.133073,-0.245522,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:11.207,4.699996,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:11.307,4.799995,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:11.407,4.899995,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130675,-0.100612,-0.326375,-0.031510,-0.100026,-0.326298,0.002958,-0.129870,-0.296665,-0.033011,-0.135154,-0.245620,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:11.507,4.999995,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:11.607,5.099995,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:11.707,5.199995,0.000000,0.000000,0.000000,0.067191,-0.101541,-0.326063,-0.130754,-0.099547,-0.326455,-0.031782,-0.100544,-0.326259,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:11.807,5.299995,0.000000,0.000000,0.000000,0.067191,-0.101541,-0.326063,-0.130754,-0.099547,-0.326455,-0.031782,-0.100544,-0.326259,0.002820,-0.130920,-0.296631,-0.033011,-0.135154,-0.245620,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:11.907,5.399995,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:12.007,5.499995,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130675,-0.100612,-0.326375,-0.031510,-0.100026,-0.326298,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:12.107,5.599995,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:12.207,5.699995,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:12.307,5.799994,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130675,-0.100612,-0.326375,-0.031510,-0.100026,-0.326298,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:12.407,5.899994,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:12.507,5.999994,0.000000,0.000000,0.000000,0.067191,-0.101541,-0.326063,-0.130754,-0.099547,-0.326455,-0.031782,-0.100544,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:12.607,6.099994,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:12.707,6.199994,0.000000,0.000000,0.000000,0.067191,-0.101541,-0.326063,-0.130675,-0.100612,-0.326375,-0.031742,-0.101077,-0.326219,0.002889,-0.130395,-0.296648,-0.032854,-0.133073,-0.245522,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:12.807,6.299994,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.033011,-0.135154,-0.245620,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:12.907,6.399994,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130754,-0.099547,-0.326455,-0.031549,-0.099493,-0.326338,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:13.007,6.499994,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:13.107,6.599994,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:13.207,6.699994,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:13.307,6.799994,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:13.407,6.899993,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130754,-0.099547,-0.326455,-0.031549,-0.099493,-0.326338,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:13.507,6.999993,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:13.607,7.099993,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.033011,-0.135154,-0.245620,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:13.707,7.199993,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:13.807,7.299993,0.000000,0.000000,0.000000,0.067191,-0.101541,-0.326063,-0.130675,-0.100612,-0.326375,-0.031742,-0.101077,-0.326219,0.002889,-0.130395,-0.296648,-0.032972,-0.134634,-0.245596,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:13.907,7.399993,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:14.007,7.499993,0.000000,0.000000,0.000000,0.067191,-0.101541,-0.326063,-0.130754,-0.099547,-0.326455,-0.031782,-0.100544,-0.326259,0.002958,-0.129870,-0.296665,-0.033011,-0.135154,-0.245620,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:14.107,7.599993,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130675,-0.100612,-0.326375,-0.031510,-0.100026,-0.326298,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:14.207,7.699993,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002820,-0.130920,-0.296631,-0.033011,-0.135154,-0.245620,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:14.307,7.799993,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:14.407,7.899992,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.033011,-0.135154,-0.245620,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:14.507,7.999992,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063480,-0.127099,-0.294108
2026-05-27 18:33:14.607,8.099992,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032972,-0.134634,-0.245596,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:14.707,8.199992,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.033011,-0.135154,-0.245620,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:14.807,8.299992,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:14.907,8.399992,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130596,-0.101678,-0.326294,-0.031587,-0.101084,-0.326218,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:15.007,8.499992,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:15.107,8.599992,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:15.207,8.699992,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:15.307,8.799992,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:15.407,8.899992,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130754,-0.099547,-0.326455,-0.031549,-0.099493,-0.326338,0.002958,-0.129870,-0.296665,-0.032854,-0.133073,-0.245522,-0.063509,-0.128153,-0.294078
2026-05-27 18:33:15.507,8.999991,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002820,-0.130920,-0.296631,-0.033011,-0.135154,-0.245620,-0.063566,-0.130260,-0.294017
2026-05-27 18:33:15.607,9.099991,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130675,-0.100612,-0.326375,-0.031626,-0.100551,-0.326259,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:15.707,9.199991,0.000000,0.000000,0.000000,0.067655,-0.099439,-0.326221,-0.130675,-0.100612,-0.326375,-0.031510,-0.100026,-0.326298,0.002820,-0.130920,-0.296631,-0.032933,-0.134114,-0.245571,-0.063537,-0.129207,-0.294048
2026-05-27 18:33:15.807,9.299991,0.000000,0.000000,0.000000,0.067423,-0.100490,-0.326142,-0.130754,-0.099547,-0.326455,-0.031665,-0.100018,-0.326299,0.002958,-0.129870,-0.296665,-0.032933,-0.134114,-0.245571,-0.063509,-0.128153,-0.294078
